Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
newmen-tubo-road-700c-av-nm-am,NEWMEN Tubo-ROAD-700C-AV-NM AM,"",NEWMEN,,Teile > Räder,"accessory, imported-2025-08-07, imported-ecom, NEWMEN, racing, road, Räder, Teile",true,Title,Default Title,,,,,,,,'90978,0.0,shopify,deny,manual,34.90,,true,true,'4054571192097,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/90978-f1-00.png?v=1754585348,1,NEWMEN Tubo-ROAD-700C-AV-NM AM,false,NEWMEN Tubo-ROAD-700C-AV-NM AM,,,,,,new,FALSE,NEWMEN,,,,,,,,,,g,,18.38,active
acid-grips-disrupt-black-305mm,ACID Grips DISRUPT Black 30.5mm,"",ACID,,Teile > Griffe,"accessory, ACID, Griffe, imported-2025-08-07, imported-ecom, Teile",true,Title,Default Title,,,,,,,,'11581,0.0,shopify,deny,manual,26.90,,true,true,'4054571190611,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/11581-d-00.jpg?v=1754585346,1,ACID Grips DISRUPT Black 30.5mm,false,ACID Grips DISRUPT Black 30.5mm,,,,,,new,FALSE,ACID,,,,,,,,,,g,,8.96,active
acid-pedals-flat-a2-ib-black,ACID Pedals FLAT A2-IB Black,"",ACID,,Teile > Pedale,"accessory, ACID, imported-2025-08-07, imported-ecom, Pedale, Teile",true,Title,Default Title,,,,,,,,'93254,0.0,shopify,deny,manual,74.90,,true,true,'4054571161123,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/93254-1.jpg?v=1754585346,1,ACID Pedals FLAT A2-IB Black,false,ACID Pedals FLAT A2-IB Black,,,,,,new,FALSE,ACID,,,,,,,,,,g,,29.10,active
sigma-compteur-rox-20-endurance-gps,Sigma Compteur ROX 2.0 Endurance GPS,"",Sigma,,Zubehör,"accessory, imported-2025-08-07, imported-ecom, Sigma, Zubehör",true,Title,Default Title,,,,,,,,20.93279,0.0,shopify,deny,manual,99.00,,true,true,'4016224010547,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/20-93279-fr.jpg?v=1754585344,1,Sigma Compteur ROX 2.0 Endurance GPS,false,Sigma Compteur ROX 2.0 Endurance GPS,,,,,20.93279,new,FALSE,Sigma,,,,,,,,,,g,,64.00,active
schwalbe-big-betty-275x260-supertrail-addix-soft-tl-easy-black,Schwalbe Big Betty 27.5x2.60 SuperTrail Addix Soft TL-Easy black,"",SCHWALBE,,Teile > Räder,"accessory, imported-2025-08-07, imported-ecom, Räder, SCHWALBE, Teile",true,Title,Default Title,,,,,,,,24.80153,0.0,shopify,deny,manual,77.00,,true,true,'4026495878258,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/24-80150-001.jpg?v=1754585343,1,Schwalbe Big Betty 27.5x2.60 SuperTrail Addix Soft TL-Easy black,false,Schwalbe Big Betty 27.5x2.60 SuperTrail Addix Soft TL-Easy black,,,,,,new,FALSE,SCHWALBE,,,,,,,,,,g,,44.15,active
intuvia-display-bui255-nero,Intuvia Display BUI255 Nero,"",Bosch,,Teile > Bosch,"accessory, Bosch, e-bike, electric, imported-2025-08-07, imported-ecom, Teile",true,Title,Default Title,,,,,,,,56.59526,0.0,shopify,deny,manual,122.00,,true,true,'4047025220293,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/schermata-2019-04-19-alle-172711.png?v=1754585342,1,Intuvia Display BUI255 Nero,false,Intuvia Display BUI255 Nero,,,,,56.59526,new,FALSE,Bosch,,,,,,,,,,g,,77.00,active
mudshield-estensione-parafango,Mudshield - estensione parafango,"",Tern,,Zubehör,"accessory, imported-2025-08-07, imported-ecom, Tern, Zubehör",true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,10.90,,true,true,,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/tn-mudshield-qhl-v2.webp?v=1754585342,1,Mudshield - estensione parafango,false,Mudshield - estensione parafango,,,,,,new,FALSE,Tern,,,,,,,,,,g,,5.44,active
acid-bike-drivetrain-cleaner-300ml,ACID Bike Drivetrain Cleaner 300ml,"",ACID,,Zubehör > Werkstatt / Werkzeuge,"ACID, imported-2025-08-07, imported-ecom, maintenance, repair, tool, Werkstatt / Werkzeuge, workshop, Zubehör",true,Title,Default Title,,,,,,,,'93426,0.0,shopify,deny,manual,14.90,,true,true,'4054571164018,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/93426-0.png?v=1754585340,1,ACID Bike Drivetrain Cleaner 300ml,false,ACID Bike Drivetrain Cleaner 300ml,,,,,,new,FALSE,ACID,,,,,,,,,,g,,5.39,active
cube-drop-out-adapter-sic-20,CUBE Drop Out Adapter SIC 2.0,"",ACID,,Zubehör > Gepäckträger,"ACID, carrier, Gepäckträger, imported-2025-08-07, imported-ecom, luggage, rack, Zubehör",true,Title,Default Title,,,,,,,,'98304,0.0,shopify,deny,manual,5.90,,true,true,'4054571235152,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/98304-f1-00.png?v=1754585338,1,CUBE Drop Out Adapter SIC 2.0,false,CUBE Drop Out Adapter SIC 2.0,,,,,,new,FALSE,ACID,,,,,,,,,,g,,2.45,active
kit-shimano-per-spurgo-tl-btbr-mtbroad-scatola-spurgo-unidirezionale,Kit Shimano per spurgo TL-BTBR MTB/Road scatola spurgo unidirezionale,"",SHIMANO,,Zubehör > Werkstatt / Werkzeuge,"imported-2025-08-07, imported-ecom, maintenance, racing, repair, road, SHIMANO, tool, Werkstatt / Werkzeuge, workshop, Zubehör",true,Title,Default Title,,,,,,,,Y13098630,0.0,shopify,deny,manual,55.00,,true,true,'192790904801,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/90-80985-009.jpg?v=1754585338,1,Kit Shimano per spurgo TL-BTBR MTB/Road scatola spurgo unidirezionale,false,Kit Shimano per spurgo TL-BTBR MTB/Road scatola spurgo unidirezionale,,,,,90.80985,new,FALSE,SHIMANO,,,,,,,,,,g,,27.85,active
